Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,alberta,5,19,1,Desmond Young,Left,Fourth,,57,70%,57,83%,114,76%,,56,78%,40,76%,96,77%,,113,74%,97,80%,210,77%
2019,alberta,5,19,1,Dustin Mikush,Right,Third,,48,77%,56,75%,104,76%,,52,80%,60,74%,112,77%,,100,78%,116,75%,216,76%
2019,alberta,5,19,1,Jacob Libbus,Right,Second,,59,70%,36,85%,95,76%,,59,82%,60,83%,119,82%,,118,76%,96,83%,214,79%
2019,alberta,5,19,1,Gabriel Dyck,Right,Lead,,138,80%,35,83%,173,80%,,22,76%,18,78%,40,77%,,160,79%,53,81%,213,80%
2019,british columbia,1,24,1,Tyler Tardi,Left,Fourth,,31,81%,47,81%,78,81%,,71,89%,41,88%,112,89%,,102,87%,88,84%,190,86%
2019,british columbia,1,24,1,Sterling Middleton,Right,Third,,35,78%,42,88%,77,83%,,38,84%,83,91%,121,89%,,73,81%,125,90%,198,87%
2019,british columbia,1,24,1,Matthew Hall,Right,Second,,38,92%,39,89%,77,91%,,49,87%,71,90%,120,89%,,87,89%,110,90%,197,90%
2019,british columbia,1,24,1,Alex Horvath,,Lead,,59,85%,93,90%,152,88%,,9,94%,31,82%,40,85%,,68,86%,124,88%,192,87%
2019,manitoba,4,24,1,JT Ryan,Left,Fourth,,49,76%,47,66%,96,71%,,54,85%,69,83%,123,84%,,103,81%,116,76%,219,78%
2019,manitoba,4,24,1,Jacques Gauthier,Right,Third,,46,82%,36,74%,82,78%,,60,86%,80,84%,140,85%,,106,84%,116,81%,222,83%
2019,manitoba,4,24,1,Jordan Peters,Right,Second,,42,92%,43,79%,85,86%,,58,80%,78,87%,136,84%,,100,85%,121,84%,221,85%
2019,manitoba,4,24,1,Cole Chandler,Left,Lead,,102,85%,82,87%,184,86%,,20,79%,18,85%,38,82%,,122,84%,100,86%,222,85%
2019,new brunswick,5,18,1,Jack Smeltzer,Right,Fourth,,44,78%,46,73%,90,75%,,37,67%,28,63%,65,65%,,81,73%,74,69%,155,71%
2019,new brunswick,5,18,1,Michael Donovan,Right,Third,,44,73%,31,65%,75,70%,,52,82%,36,77%,88,80%,,96,78%,67,72%,163,75%
2019,new brunswick,5,18,1,Donovan Lanteigne,Right,Second,,55,69%,38,73%,93,70%,,42,76%,27,72%,69,74%,,97,72%,65,73%,162,72%
2019,new brunswick,5,18,1,Alex Gallant,Left,Lead,,51,68%,91,80%,142,76%,,5,65%,11,84%,16,78%,,56,68%,102,81%,158,76%
2019,newfoundland and labrador,3,19,1,Daniel Bruce,Right,Fourth,,39,63%,44,73%,83,68%,,34,83%,56,77%,90,79%,,73,72%,100,76%,173,74%
2019,newfoundland and labrador,3,19,1,Greg Blyde,Right,Third,,47,84%,40,70%,87,78%,,43,78%,46,82%,89,80%,,90,81%,86,76%,176,79%
2019,newfoundland and labrador,3,19,1,Ryan McNeil Lamswood,Right,Second,,54,78%,51,77%,105,78%,,29,77%,41,77%,70,77%,,83,77%,92,77%,175,77%
2019,newfoundland and labrador,3,19,1,Nathan King,Right,Lead,,76,84%,70,79%,146,82%,,13,65%,15,77%,28,71%,,89,81%,85,79%,174,80%
2019,northern ontario,2,19,1,Tanner Horgan,Right,Fourth,,46,85%,44,76%,90,81%,,46,79%,48,72%,94,76%,,92,82%,92,74%,184,78%
