Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,alberta,1,2,1,Selena Sturmay,Right,Fourth,,4,69%,3,83%,7,75%,,4,75%,5,75%,9,75%,,8,72%,8,78%,16,75%
2019,alberta,1,2,1,Abby Marks,Left,Third,,0,0%,1,100%,1,100%,,6,83%,9,64%,15,72%,,6,83%,10,68%,16,73%
2019,alberta,1,2,1,Kate Goodhelpsen,Right,Second,,1,0%,3,42%,4,31%,,3,83%,9,72%,12,75%,,4,63%,12,65%,16,64%
2019,alberta,1,2,1,Paige Papley,Right,Lead,,2,88%,12,79%,14,80%,,1,75%,1,100%,2,88%,,3,83%,13,81%,16,81%
2019,alberta,1,4,2,Selena Sturmay,Right,Fourth,,4,75%,3,92%,7,82%,,6,71%,3,67%,9,69%,,10,73%,6,79%,16,75%
2019,alberta,1,4,2,Abby Marks,Left,Third,,0,0%,5,95%,5,95%,,8,88%,3,92%,11,89%,,8,88%,8,94%,16,91%
2019,alberta,1,4,2,Kate Goodhelpsen,Right,Second,,1,75%,2,75%,3,75%,,7,71%,6,75%,13,73%,,8,72%,8,75%,16,73%
2019,alberta,1,4,2,Paige Papley,Right,Lead,,7,82%,4,44%,11,68%,,2,100%,3,83%,5,90%,,9,86%,7,61%,16,75%
2019,alberta,1,6,3,Selena Sturmay,Right,Fourth,,4,88%,9,69%,13,75%,,4,63%,3,100%,7,79%,,8,75%,12,77%,20,76%
2019,alberta,1,6,3,Abby Marks,Left,Third,,6,79%,2,63%,8,75%,,8,88%,4,100%,12,92%,,14,84%,6,88%,20,85%
2019,alberta,1,6,3,Kate Goodhelpsen,Right,Second,,1,100%,7,82%,8,84%,,6,88%,6,75%,12,81%,,7,89%,13,79%,20,83%
2019,alberta,1,6,3,Paige Papley,Right,Lead,,9,67%,10,78%,19,72%,,1,100%,0,0%,1,100%,,10,70%,10,78%,20,74%
2019,alberta,1,8,4,Selena Sturmay,Right,Fourth,,3,42%,7,89%,10,75%,,5,90%,4,75%,9,83%,,8,72%,11,84%,19,79%
2019,alberta,1,8,4,Abby Marks,Left,Third,,1,100%,1,100%,2,100%,,6,83%,12,83%,18,83%,,7,86%,13,85%,20,85%
2019,alberta,1,8,4,Kate Goodhelpsen,Right,Second,,2,50%,2,50%,4,50%,,7,100%,9,78%,16,88%,,9,89%,11,73%,20,80%
2019,alberta,1,8,4,Paige Papley,Right,Lead,,7,71%,9,97%,16,86%,,2,38%,2,88%,4,63%,,9,64%,11,95%,20,81%
2019,alberta,1,9,5,Selena Sturmay,Right,Fourth,,5,65%,7,75%,12,71%,,2,63%,2,50%,4,56%,,7,64%,9,69%,16,67%
2019,alberta,1,9,5,Abby Marks,Left,Third,,4,94%,3,92%,7,93%,,5,70%,4,75%,9,72%,,9,81%,7,82%,16,81%
2019,alberta,1,9,5,Kate Goodhelpsen,Right,Second,,4,56%,3,67%,7,61%,,4,100%,4,100%,8,100%,,8,78%,7,86%,15,82%
